Are you self-employed?,Is your employer primarily a tech company/organization?,Do you have previous employers?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,How many employees does your company or organization have?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?.1,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,Cluster
0,1.0,1,0,39,26-100,Not eligible for coverage / N/A,Unknown,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Unknown,Maybe,Unknown,Maybe,"No, I don't think they would",Somewhat open,No,No,Yes,No,Yes,Not applicable to me,Not applicable to me,Male,United Kingdom,Unknown,United Kingdom,Unknown,Back-end Developer,Sometimes,1
0,1.0,1,1,29,6-25,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,"It would depend on the health issue. If there is a health issue that would not immediately affect my job performance, such as diabetes, I would not bring it up during the interview. If it was something more severe, such as narcolepsy, I might bring it up depending on how controlled it was.",No,"While mental health has become a more prominent issue recently, I feel like there is still a lot of stigma surrounding it. At this point, with our culture, I would not bring it up. I hope that within the next 20-30 years that stigma will be gone and it can be brought up safely in an interview.","No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,Rarely,Sometimes,male,United States of America,Illinois,United States of America,Illinois,Back-end Developer|Front-end Developer,Never,0
0,1.0,1,1,38,6-25,No,Unknown,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,"No, none did",N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,Yes,"They would provable need to know, to Judge if I can do my job or not. ",Yes,"Stigma, mainly. ",Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Maybe,No,No,Not applicable to me,Not applicable to me,Male ,United Kingdom,Unknown,United Kingdom,Unknown,Back-end Developer,Always,1
0,1.0,1,1,42,More than 1000,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,If it would potentially affect my ability to do the job or might require special equipment/etc then it would only be fair and honest.,Maybe,It would depend on the field & what I knew of the employer.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,Yes,No,Not applicable to me,Often,Male,United Kingdom,Unknown,United Kingdom,Unknown,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|Designer,Sometimes,1
0,1.0,1,0,30,26-100,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some did,I was aware of some,None did,Some did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,I want to gauge their ability to support this issue.,Yes,"I want to gauge their ability to support, understand and empathize with my situation.","Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,Not applicable to me,Not applicable to me,M,United States of America,Tennessee,United States of America,Tennessee,Back-end Developer,Sometimes,0
0,1.0,1,1,37,More than 1000,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,I feel it's irrelevant.,No,Same reason.,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Sometimes,Often,female,United States of America,Virginia,United States of America,Virginia,Dev Evangelist/Advocate|Back-end Developer,Always,1
0,1.0,1,1,28,26-100,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,"Being honest upfront shows respect for the future employer. If they see that as a stumbling block in hiring you, then it probably wouldn't have been a good fit in the long run anyways.",Yes,Same reason as above.,"No, I don't think it would",Maybe,Very open,"Yes, I observed",I don't know,Yes,Yes,Yes,Sometimes,Often,Male,United States of America,Oregon,United States of America,Oregon,Front-end Developer,Never,0
0,1.0,1,1,30,100-500,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,Seems highly unlikely to be relevant,No,Also seems highly likely to be irrelevant at the point that I am in an interview. ,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,Rarely,Sometimes,Female,United States of America,New Jersey,United States of America,New Jersey,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Always,0
0,1.0,1,1,35,100-500,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,Because of the potential for discrimination,No,Because Of the potential for discrimination,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Male,United States of America,Georgia,United States of America,Georgia,Designer,Always,0
0,1.0,1,1,52,100-500,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.,Maybe,I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.,Maybe,Maybe,Neutral,No,Yes,Yes,Yes,Yes,Rarely,Sometimes,m,United States of America,Oregon,United States of America,Oregon,Other|Executive Leadership,Sometimes,1
